,full_name,age_201718,birthday,league_201718,season_201718,position_201718,Current Club_201718,minutes_played_overall_201718,nationality_201718,appearances_overall_201718,goals_overall_201718,assists_overall_201718,penalty_goals_201718,penalty_misses_201718,clean_sheets_overall_201718,conceded_overall_201718,yellow_cards_overall_201718,red_cards_overall_201718,goals_involved_per_90_overall_201718,assists_per_90_overall_201718,goals_per_90_overall_201718,min_per_goal_overall_201718,conceded_per_90_overall_201718,min_per_conceded_overall_201718,min_per_match_201718,min_per_card_overall_201718,min_per_assist_overall_201718,cards_per_90_overall_201718,rank_in_league_top_attackers_201718,rank_in_league_top_midfielders_201718,rank_in_league_top_defenders_201718,rank_in_club_top_scorer_201718,age_201819,league_201819,season_201819,position_201819,Current Club_201819,minutes_played_overall_201819,nationality_201819,appearances_overall_201819,goals_overall_201819,assists_overall_201819,penalty_goals_201819,penalty_misses_201819,clean_sheets_overall_201819,conceded_overall_201819,yellow_cards_overall_201819,red_cards_overall_201819,goals_involved_per_90_overall_201819,assists_per_90_overall_201819,goals_per_90_overall_201819,min_per_goal_overall_201819,conceded_per_90_overall_201819,min_per_conceded_overall_201819,min_per_match_201819,min_per_card_overall_201819,min_per_assist_overall_201819,cards_per_90_overall_201819,rank_in_league_top_attackers_201819,rank_in_league_top_midfielders_201819,rank_in_league_top_defenders_201819,rank_in_club_top_scorer_201819,age_201920,league_201920,season_201920,position_201920,Current Club_201920,minutes_played_overall_201920,nationality_201920,appearances_overall_201920,goals_overall_201920,assists_overall_201920,penalty_goals_201920,penalty_misses_201920,clean_sheets_overall_201920,conceded_overall_201920,yellow_cards_overall_201920,red_cards_overall_201920,goals_involved_per_90_overall_201920,assists_per_90_overall_201920,goals_per_90_overall_201920,min_per_goal_overall_201920,conceded_per_90_overall_201920,min_per_conceded_overall_201920,min_per_match_201920,min_per_card_overall_201920,min_per_assist_overall_201920,cards_per_90_overall_201920,rank_in_league_top_attackers_201920,rank_in_league_top_midfielders_201920,rank_in_league_top_defenders_201920,rank_in_club_top_scorer_201920
0,Aaron Cresswell,31,629683200,Premier League,2017/2018,Defender,West Ham United,3073,England,36,1,7,0,0,10,57,7,0,0.23,0.21,0.03,3073,1.67,54,85,439,439,0.21,233,55,164,12,31.0,Premier League,2018/2019,Defender,West Ham United,1589.0,England,20.0,0.0,1.0,0.0,0.0,3.0,22.0,1.0,0.0,0.06,0.06,0.0,0.0,1.25,72.0,79.0,1589.0,1589.0,0.06,290.0,191.0,80.0,20.0,31.0,Premier League,2019/2020,Defender,West Ham United,2730.0,England,31.0,3.0,0.0,0.0,0.0,5.0,49.0,7.0,0.0,0.1,0.0,0.1,910.0,1.62,56.0,88.0,390.0,0.0,0.23,151.0,260.0,129.0,6.0
1,Aaron Lennon,33,545529600,Premier League,2017/2018,Midfielder,Burnley,1918,England,29,0,2,0,0,7,28,2,0,0.09,0.09,0.0,0,1.31,69,66,959,959,0.09,268,144,-1,15,33.0,Premier League,2018/2019,Midfielder,Burnley,1217.0,England,16.0,1.0,1.0,0.0,0.0,4.0,20.0,1.0,0.0,0.15,0.07,0.07,1217.0,1.48,61.0,76.0,1217.0,1217.0,0.07,196.0,187.0,-1.0,10.0,33.0,Premier League,2019/2020,Midfielder,Burnley,485.0,England,16.0,0.0,0.0,0.0,0.0,5.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,2.6,35.0,30.0,121.0,0.0,0.74,320.0,402.0,-1.0,17.0
2,Aaron Mooy,30,653356800,Premier League,2017/2018,Midfielder,Huddersfield Town,3070,Australia,36,4,3,1,0,10,51,5,0,0.21,0.09,0.12,768,1.5,60,85,614,1023,0.15,136,141,-1,3,30.0,Premier League,2018/2019,Midfielder,Huddersfield Town,2327.0,Australia,29.0,3.0,1.0,1.0,0.0,4.0,46.0,4.0,0.0,0.15,0.04,0.12,776.0,1.78,51.0,80.0,582.0,2327.0,0.15,144.0,233.0,-1.0,3.0,30.0,Premier League,2019/2020,Midfielder,Brighton & Hove Albion,2090.0,Australia,31.0,2.0,2.0,0.0,0.0,7.0,30.0,3.0,1.0,0.17,0.09,0.09,1045.0,1.29,70.0,67.0,697.0,1045.0,0.13,164.0,140.0,-1.0,8.0
3,Aaron Ramsdale,22,895104000,Premier League,2017/2018,Goalkeeper,AFC Bournemouth,0,England,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,Premier League,2019/2020,Goalkeeper,AFC Bournemouth,3330.0,England,37.0,0.0,1.0,0.0,0.0,5.0,61.0,0.0,0.0,0.03,0.03,0.0,0.0,1.65,55.0,90.0,0.0,3330.0,0.0,362.0,248.0,135.0,19.0
4,Aaron Ramsey,29,662169600,Premier League,2017/2018,Midfielder,Arsenal,1848,Wales,24,7,8,0,0,10,22,0,0,0.73,0.39,0.34,264,1.07,84,77,0,231,0.0,44,8,-1,3,29.0,Premier League,2018/2019,Midfielder,Arsenal,1327.0,Wales,28.0,4.0,6.0,0.0,0.0,7.0,12.0,0.0,0.0,0.68,0.41,0.27,332.0,0.81,111.0,47.0,0.0,221.0,0.0,69.0,8.0,-1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Aaron Wan-Bissaka,23,880502400,Premier League,2017/2018,Midfielder,Crystal Palace,628,England,7,0,0,0,0,2,9,1,0,0.0,0.0,0.0,0,1.29,70,90,628,0,0.14,260,303,-1,15,23.0,Premier League,2018/2019,Midfielder,Crystal Palace,3135.0,England,35.0,0.0,3.0,0.0,0.0,12.0,41.0,5.0,1.0,0.09,0.09,0.0,0.0,1.18,76.0,90.0,523.0,1045.0,0.17,312.0,160.0,-1.0,22.0,23.0,Premier League,2019/2020,Midfielder,Manchester United,3071.0,England,35.0,0.0,4.0,0.0,0.0,12.0,29.0,8.0,0.0,0.12,0.12,0.0,0.0,0.85,106.0,88.0,384.0,768.0,0.23,386.0,109.0,-1.0,27.0
6,Abdelhamid Sabiri,24,849139200,Premier League,2017/2018,Midfielder,Huddersfield Town,219,Morocco,5,0,1,0,0,1,5,1,0,0.41,0.41,0.0,0,2.05,44,44,219,219,0.41,-1,-1,-1,15,24.0,Premier League,2018/2019,Midfielder,Huddersfield Town,49.0,Morocco,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51,16.0,25.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Abdoulaye Doucouré,27,725846400,Premier League,2017/2018,Midfielder,Watford,3325,France,37,7,3,0,0,9,56,10,0,0.27,0.08,0.19,475,1.52,59,90,333,1108,0.27,101,155,-1,1,27.0,Premier League,2018/2019,Midfielder,Watford,3062.0,France,35.0,5.0,6.0,0.0,0.0,5.0,54.0,7.0,0.0,0.32,0.18,0.15,612.0,1.59,57.0,87.0,437.0,510.0,0.21,124.0,80.0,-1.0,5.0,27.0,Premier League,2019/2020,Midfielder,Watford,3166.0,France,37.0,4.0,2.0,0.0,0.0,9.0,57.0,9.0,0.0,0.17,0.06,0.11,792.0,1.62,56.0,86.0,352.0,1583.0,0.26,141.0,199.0,-1.0,3.0
8,Adam David Lallana,32,579225600,Premier League,2017/2018,Midfielder,Liverpool,235,England,12,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0.0,0,20,235,0,0.38,-1,-1,-1,16,32.0,Premier League,2018/2019,Midfielder,Liverpool,465.0,England,13.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39,233.0,36.0,465.0,0.0,0.19,379.0,344.0,-1.0,18.0,32.0,Premier League,2019/2020,Midfielder,Liverpool,373.0,England,15.0,1.0,1.0,0.0,0.0,6.0,5.0,1.0,0.0,0.48,0.24,0.24,373.0,1.21,75.0,25.0,373.0,373.0,0.24,76.0,33.0,-1.0,17.0
9,Adam Legzdins,34,533520000,Premier League,2017/2018,Goalkeeper,Burnley,0,England,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
