id,second_name,first_name,minutes,value_season,value_form,form,total_points,points_per_game,team,team_code,in_dreamteam,now_cost,event_points,chance_of_playing_next_round,code,dreamteam_count,element_type,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,position
254,Salah,Mohamed,1651,11.7,0.4,4.6,146,7.3,Liverpool,14,True,125,15,100.0,118748,4,3,15,4,5,23,0,0,0,0,0,0,16,442,696.8,487.9,1001.0,218.5,MID
302,Borges Fernandes,Bruno Miguel,1745,12.7,0.3,3.0,145,6.9,Man Utd,1,True,114,3,,141746,6,3,11,9,7,22,0,0,1,4,0,0,22,522,783.0,876.2,728.0,238.9,MID
390,Son,Heung-Min,1706,14.6,0.5,4.8,143,7.2,Spurs,6,True,98,2,100.0,85971,7,3,12,6,8,15,0,0,0,0,0,0,18,458,657.8,526.8,638.0,182.6,MID
388,Kane,Harry,1654,12.9,0.5,6.0,143,7.5,Spurs,6,True,111,0,0.0,78830,6,4,12,11,6,17,0,0,0,1,0,0,26,512,763.4,371.2,792.0,192.4,FWD
202,Bamford,Patrick,1695,18.0,0.8,5.0,119,6.0,Leeds,2,True,66,15,75.0,106617,3,4,11,7,6,34,0,0,0,1,0,0,16,388,508.0,160.2,934.0,160.1,FWD
37,Grealish,Jack,1707,15.5,0.7,5.5,119,6.3,Aston Villa,7,True,77,6,,114283,2,3,6,11,10,21,0,0,0,4,0,0,12,457,625.0,855.7,819.0,229.8,MID
224,Vardy,Jamie,1476,11.6,0.2,1.8,116,6.4,Leicester,13,True,100,0,0.0,101668,4,4,11,8,6,19,0,0,1,1,0,0,17,412,527.8,183.3,762.0,147.4,FWD
506,Wilson,Callum,1687,16.7,0.7,4.3,110,5.8,Newcastle,4,False,66,13,100.0,75115,3,4,10,5,5,28,0,0,0,2,0,0,19,345,464.0,199.8,598.0,126.0,FWD
12,Martínez,Emiliano,1710,20.2,1.0,5.0,103,5.4,Aston Villa,7,True,51,10,,98980,2,1,0,0,10,21,0,1,0,0,0,66,13,444,515.0,20.0,0.0,53.3,GKP
251,Mané,Sadio,1599,8.7,0.4,4.4,103,5.4,Liverpool,14,False,119,0,75.0,110979,2,3,7,7,5,16,0,0,0,2,0,0,8,297,483.6,460.4,956.0,190.3,MID
141,Zaha,Wilfried,1610,14.0,0.4,3.0,101,5.6,Crystal Palace,31,False,72,2,100.0,82403,3,3,9,3,4,29,0,0,0,4,0,0,11,250,412.4,257.8,700.0,137.1,MID
164,Calvert-Lewin,Dominic,1583,13.0,0.2,1.3,99,5.5,Everton,11,False,76,2,100.0,177815,2,4,11,4,5,22,0,0,0,3,0,0,10,346,474.6,167.0,840.0,147.9,FWD
96,Pope,Nick,1710,18.1,0.9,4.6,98,5.2,Burnley,90,False,54,3,100.0,98747,2,1,0,0,7,21,0,0,0,0,0,80,17,418,594.0,10.0,0.0,60.3,GKP
306,Rashford,Marcus,1706,10.2,0.3,2.8,98,4.7,Man Utd,1,False,96,3,100.0,176297,2,3,7,5,7,24,0,0,0,3,0,0,4,288,455.2,339.4,665.0,146.0,MID
449,Soucek,Tomas,1890,18.3,0.9,5.0,97,4.6,West Ham,21,False,53,1,,215439,4,3,7,1,7,27,0,0,0,3,0,0,13,333,503.2,110.6,590.0,120.4,MID
276,Sterling,Raheem,1438,8.4,0.4,4.3,97,5.4,Man City,43,False,116,0,100.0,103955,1,3,6,6,9,11,0,0,1,1,0,0,9,269,385.6,310.1,804.0,149.8,MID
435,Cresswell,Aaron,1890,17.5,0.9,4.8,96,4.6,West Ham,21,True,55,4,100.0,55459,2,2,0,8,7,27,0,0,0,0,0,0,11,453,413.4,486.1,53.0,95.5,DEF
272,De Bruyne,Kevin,1405,8.1,0.4,4.5,95,5.6,Man City,43,False,118,0,0.0,61366,2,3,3,10,9,11,0,0,1,1,0,0,12,368,514.6,796.8,663.0,197.6,MID
235,Barnes,Harvey,1549,13.6,0.9,6.2,94,4.7,Leicester,13,False,69,8,,201666,1,3,7,3,5,21,0,0,0,0,0,0,8,252,432.0,266.2,641.0,134.0,MID
255,Robertson,Andrew,1890,12.4,0.4,2.6,92,4.4,Liverpool,14,True,74,2,100.0,122798,2,2,1,5,6,24,0,0,0,1,0,0,11,467,439.4,671.0,220.0,133.3,DEF
556,Gato Alves Dias,Rúben Santos,1599,15.2,1.1,6.8,91,5.1,Man City,43,True,60,8,,171314,1,2,0,1,12,7,1,0,0,2,0,0,9,401,360.6,32.2,164.0,55.8,DEF
231,Maddison,James,1291,12.2,0.9,6.8,89,4.7,Leicester,13,False,73,5,100.0,172780,2,3,6,5,7,17,0,0,0,3,0,0,7,297,388.4,535.2,363.0,128.5,MID
8,Leno,Bernd,1890,17.8,1.2,5.8,89,4.2,Arsenal,3,False,50,7,,80201,2,1,0,0,8,20,0,1,0,0,0,51,6,407,437.2,0.0,0.0,43.7,GKP
278,Santana de Moraes,Ederson,1710,14.7,0.9,5.2,88,4.6,Man City,43,False,60,6,100.0,121160,0,1,0,0,12,12,0,0,0,1,0,32,1,366,274.8,0.0,0.0,27.6,GKP
