id,value_season,value_form,form,total_points,points_per_game,team_code,now_cost,event_points,chance_of_playing_next_round,code,dreamteam_count,element_type,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
302.0,12.5,0.4,4.7,142.0,7.1,1.0,114.0,2.0,0.0,141746.0,6.0,3.0,11.0,9.0,6.0,22.0,0.0,0.0,1.0,4.0,0.0,0.0,22.0,514.0,776.0,859.9,710.0,234.8
388.0,12.6,0.6,7.2,142.0,7.9,6.0,113.0,0.0,100.0,78830.0,6.0,4.0,12.0,11.0,6.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,513.0,763.4,371.1,790.0,192.4
390.0,14.3,0.5,5.0,139.0,7.7,6.0,97.0,0.0,100.0,85971.0,7.0,3.0,12.0,6.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,436.0,639.2,494.7,598.0,173.5
254.0,10.3,0.1,1.8,129.0,7.2,14.0,125.0,0.0,100.0,118748.0,3.0,3.0,13.0,4.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,383.0,616.8,441.0,896.0,195.3
224.0,11.6,0.2,2.2,116.0,6.4,13.0,100.0,0.0,0.0,101668.0,4.0,4.0,11.0,8.0,6.0,19.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0,412.0,527.8,183.3,762.0,147.4
37.0,14.7,0.8,5.8,113.0,6.3,7.0,77.0,8.0,0.0,114283.0,2.0,3.0,6.0,10.0,9.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,440.0,597.6,837.4,811.0,224.4
202.0,15.5,0.5,3.2,104.0,5.5,2.0,67.0,1.0,0.0,106617.0,2.0,4.0,10.0,5.0,6.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,332.0,433.8,124.9,878.0,143.5
141.0,13.8,0.4,3.2,99.0,5.8,31.0,72.0,7.0,100.0,82403.0,3.0,3.0,9.0,3.0,3.0,29.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,251.0,412.4,240.6,677.0,133.1
506.0,14.7,0.4,2.5,97.0,5.4,4.0,66.0,5.0,100.0,75115.0,2.0,4.0,8.0,5.0,4.0,28.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0,303.0,391.0,196.2,517.0,110.2
276.0,8.4,0.5,5.2,97.0,5.4,43.0,115.0,11.0,100.0,103955.0,1.0,3.0,6.0,6.0,9.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,269.0,385.6,310.1,804.0,149.8
164.0,12.8,0.2,1.3,97.0,5.7,11.0,76.0,2.0,100.0,177815.0,2.0,4.0,11.0,4.0,5.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,344.0,463.4,150.2,811.0,142.2
449.0,18.1,1.2,6.6,96.0,4.8,21.0,53.0,15.0,0.0,215439.0,4.0,3.0,7.0,1.0,7.0,24.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,323.0,494.6,109.6,586.0,119.0
