id,second_name,first_name,value_season,value_form,form,total_points,points_per_game,team,team_code,in_dreamteam,now_cost,event_points,chance_of_playing_next_round,code,dreamteam_count,element_type,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,position
302,Borges Fernandes,Bruno Miguel,12.5,0.4,4.7,142,7.1,Man Utd,1,True,114,2,,141746,6,3,11,9,6,22,0,0,1,4,0,0,22,514,776.0,859.9,710.0,234.8,MID
388,Kane,Harry,12.6,0.6,7.2,142,7.9,Spurs,6,True,113,0,100.0,78830,6,4,12,11,6,16,0,0,0,1,0,0,26,513,763.4,371.1,790.0,192.4,FWD
390,Son,Heung-Min,14.3,0.5,5.0,139,7.7,Spurs,6,True,97,0,100.0,85971,7,3,12,6,8,11,0,0,0,0,0,0,18,436,639.2,494.7,598.0,173.5,MID
254,Salah,Mohamed,10.3,0.1,1.8,129,7.2,Liverpool,14,True,125,0,100.0,118748,3,3,13,4,5,21,0,0,0,0,0,0,13,383,616.8,441.0,896.0,195.3,MID
224,Vardy,Jamie,11.6,0.2,2.2,116,6.4,Leicester,13,True,100,0,0.0,101668,4,4,11,8,6,19,0,0,1,1,0,0,17,412,527.8,183.3,762.0,147.4,FWD
37,Grealish,Jack,14.7,0.8,5.8,113,6.3,Aston Villa,7,True,77,8,,114283,2,3,6,10,9,21,0,0,0,4,0,0,12,440,597.6,837.4,811.0,224.4,MID
202,Bamford,Patrick,15.5,0.5,3.2,104,5.5,Leeds,2,True,67,1,,106617,2,4,10,5,6,33,0,0,0,1,0,0,13,332,433.8,124.9,878.0,143.5,FWD
141,Zaha,Wilfried,13.8,0.4,3.2,99,5.8,Crystal Palace,31,False,72,7,100.0,82403,3,3,9,3,3,29,0,0,0,3,0,0,11,251,412.4,240.6,677.0,133.1,MID
506,Wilson,Callum,14.7,0.4,2.5,97,5.4,Newcastle,4,False,66,5,100.0,75115,2,4,8,5,4,28,0,0,0,2,0,0,16,303,391.0,196.2,517.0,110.2,FWD
276,Sterling,Raheem,8.4,0.5,5.2,97,5.4,Man City,43,False,115,11,100.0,103955,1,3,6,6,9,11,0,0,1,1,0,0,9,269,385.6,310.1,804.0,149.8,MID
164,Calvert-Lewin,Dominic,12.8,0.2,1.3,97,5.7,Everton,11,False,76,2,100.0,177815,2,4,11,4,5,20,0,0,0,3,0,0,10,344,463.4,150.2,811.0,142.2,FWD
449,Soucek,Tomas,18.1,1.2,6.6,96,4.8,West Ham,21,False,53,15,,215439,4,3,7,1,7,24,0,0,0,2,0,0,13,323,494.6,109.6,586.0,119.0,MID
96,Pope,Nick,17.6,1.0,5.2,95,5.3,Burnley,90,True,54,3,100.0,98747,2,1,0,0,7,19,0,0,0,0,0,73,17,395,547.0,10.0,0.0,55.6,GKP
272,De Bruyne,Kevin,8.0,0.5,5.4,95,5.6,Man City,43,False,119,0,0.0,61366,2,3,3,10,9,11,0,0,1,1,0,0,12,368,514.6,796.8,663.0,197.6,MID
306,Rashford,Marcus,9.9,0.3,3.3,95,4.8,Man Utd,1,False,96,2,100.0,176297,2,3,7,5,6,24,0,0,0,3,0,0,4,279,452.6,331.3,652.0,143.6,MID
12,Martínez,Emiliano,18.2,0.6,3.2,93,5.2,Aston Villa,7,False,51,1,,98980,1,1,0,0,9,21,0,1,0,0,0,62,10,416,481.8,20.0,0.0,50.0,GKP
435,Cresswell,Aaron,16.7,1.2,6.4,92,4.6,West Ham,21,True,55,5,100.0,55459,2,2,0,7,7,24,0,0,0,0,0,0,11,432,399.0,485.3,51.0,93.8,DEF
251,Mané,Sadio,7.5,0.2,2.0,88,4.9,Liverpool,14,False,118,0,100.0,110979,1,3,6,5,5,15,0,0,0,2,0,0,6,256,421.4,440.1,856.0,172.0,MID
255,Robertson,Andrew,11.9,0.5,3.6,88,4.6,Liverpool,14,True,74,0,100.0,122798,2,2,1,5,6,22,0,0,0,1,0,0,11,438,410.4,648.0,218.0,127.9,DEF
235,Barnes,Harvey,12.6,0.9,5.8,86,4.5,Leicester,13,False,68,6,,201666,1,3,6,3,5,18,0,0,0,0,0,0,7,227,391.0,242.3,610.0,124.4,MID
370,Ward-Prowse,James,14.1,0.7,4.0,86,4.5,Southampton,20,False,61,5,100.0,101178,3,3,4,5,8,24,0,0,0,3,0,0,8,395,474.4,510.3,128.0,111.1,MID
474,Lomba Neto,Pedro,14.6,0.5,2.8,86,4.3,Wolves,39,False,59,2,100.0,247632,1,3,4,5,6,26,0,0,0,1,0,0,7,331,386.6,634.1,470.0,149.3,MID
