,id,form,total_points,points_per_game,event_points,goals_scored,assists,clean_sheets,bonus,bps,influence,creativity,threat,ict_index
0,254,4.6,146,7.3,15,15,4,5,16,442,696.8,487.9,1001.0,218.5
1,302,3.0,145,6.9,3,11,9,7,22,522,783.0,876.2,728.0,238.9
2,390,4.8,143,7.2,2,12,6,8,18,458,657.8,526.8,638.0,182.6
3,388,6.0,143,7.5,0,12,11,6,26,512,763.4,371.2,792.0,192.4
4,202,5.0,119,6.0,15,11,7,6,16,388,508.0,160.2,934.0,160.1
5,37,5.5,119,6.3,6,6,11,10,12,457,625.0,855.7,819.0,229.8
6,224,1.8,116,6.4,0,11,8,6,17,412,527.8,183.3,762.0,147.4
7,506,4.3,110,5.8,13,10,5,5,19,345,464.0,199.8,598.0,126.0
8,12,5.0,103,5.4,10,0,0,10,13,444,515.0,20.0,0.0,53.3
9,251,4.4,103,5.4,0,7,7,5,8,297,483.6,460.4,956.0,190.3
10,141,3.0,101,5.6,2,9,3,4,11,250,412.4,257.8,700.0,137.1
11,164,1.3,99,5.5,2,11,4,5,10,346,474.6,167.0,840.0,147.9
12,96,4.6,98,5.2,3,0,0,7,17,418,594.0,10.0,0.0,60.3
13,306,2.8,98,4.7,3,7,5,7,4,288,455.2,339.4,665.0,146.0
14,449,5.0,97,4.6,1,7,1,7,13,333,503.2,110.6,590.0,120.4
15,276,4.3,97,5.4,0,6,6,9,9,269,385.6,310.1,804.0,149.8
16,435,4.8,96,4.6,4,0,8,7,11,453,413.4,486.1,53.0,95.5
17,272,4.5,95,5.6,0,3,10,9,12,368,514.6,796.8,663.0,197.6
18,235,6.2,94,4.7,8,7,3,5,8,252,432.0,266.2,641.0,134.0
19,255,2.6,92,4.4,2,1,5,6,11,467,439.4,671.0,220.0,133.3
20,556,6.8,91,5.1,8,0,1,12,9,401,360.6,32.2,164.0,55.8
21,231,6.8,89,4.7,5,6,5,7,7,297,388.4,535.2,363.0,128.5
22,8,5.8,89,4.2,7,0,0,8,6,407,437.2,0.0,0.0,43.7
23,278,5.2,88,4.6,6,0,0,12,1,366,274.8,0.0,0.0,27.6
24,474,2.6,88,4.2,2,4,5,6,7,351,411.2,687.8,477.0,157.8
25,370,3.5,87,4.3,1,4,5,8,8,412,492.8,548.3,138.0,117.7
26,277,5.5,86,5.7,0,1,2,9,13,353,332.2,437.0,197.0,96.7
27,228,6.8,86,4.1,2,5,2,7,11,369,469.6,257.7,236.0,96.5
28,514,4.0,85,4.5,2,8,4,10,6,273,444.8,323.3,956.0,171.8
29,232,2.6,85,5.0,0,2,4,7,7,342,363.0,324.0,224.0,90.5
30,445,4.2,85,4.0,2,5,3,6,5,265,325.4,351.5,503.0,118.2
31,203,5.0,85,4.5,9,5,4,6,7,286,436.4,491.5,352.0,128.2
32,249,3.2,84,4.0,4,6,4,6,10,347,415.4,336.5,853.0,160.1
33,217,4.6,84,4.0,2,0,0,7,6,379,514.2,0.0,0.0,51.5
34,42,7.0,84,4.4,6,0,3,11,5,385,315.6,236.9,82.0,63.6
35,376,2.8,83,4.2,2,1,1,8,11,397,407.6,43.0,129.0,58.1
36,271,7.8,83,5.5,3,7,0,9,12,320,395.8,353.7,330.0,108.0
37,383,3.4,83,4.2,2,0,0,6,9,380,477.6,0.0,0.0,47.7
38,200,3.0,82,4.1,7,4,2,6,5,389,423.6,212.4,286.0,92.4
39,431,2.5,81,4.0,1,0,0,6,9,370,412.8,0.0,0.0,41.3
40,24,6.6,81,4.5,0,5,3,6,8,285,374.4,384.4,645.0,140.4
41,110,0.2,78,5.2,0,4,0,6,6,337,416.6,45.9,179.0,64.2
42,41,3.8,77,4.3,7,2,1,9,6,341,408.0,62.6,160.0,63.3
43,239,3.4,77,3.7,1,1,2,7,7,381,391.4,286.7,160.0,84.0
44,366,3.2,77,5.1,2,7,3,6,13,297,395.0,187.4,495.0,107.7
45,273,6.8,77,7.0,0,2,0,9,7,297,263.2,36.3,86.0,38.5
